LO_DEBUG: input=6.00000000000004529710 | scaled=600000000000005.00000000000000000000
LO_DEBUG: input=6.00000000000004618528 | scaled=600000000000004.62500000000000000000
LO_DEBUG: input=6.00000000000004618528 | scaled=600000000000005.00000000000000000000
LO_DEBUG: input=6.00000000000004707346 | scaled=600000000000004.75000000000000000000
LO_DEBUG: input=6.00000000000004707346 | scaled=600000000000005.00000000000000000000
LO_DEBUG: input=6.00000000000004796163 | scaled=600000000000004.75000000000000000000
LO_DEBUG: input=6.00000000000004796163 | scaled=600000000000005.00000000000000000000
LO_DEBUG: input=6.00000000000004884981 | scaled=600000000000004.87500000000000000000
LO_DEBUG: input=6.00000000000004884981 | scaled=600000000000005.00000000000000000000
LO_DEBUG: input=6.00000000000004973799 | scaled=600000000000005.00000000000000000000
LO_DEBUG: input=6.00000000000004973799 | scaled=600000000000005.00000000000000000000
LO_DEBUG: input=6.00000000000005062617 | scaled=600000000000005.12500000000000000000
LO_DEBUG: input=6.00000000000005062617 | scaled=600000000000005.00000000000000000000
LO_DEBUG: input=6.00000000000005151435 | scaled=600000000000005.12500000000000000000
LO_DEBUG: input=6.00000000000005151435 | scaled=600000000000005.00000000000000000000
LO_DEBUG: input=6.00000000000005240253 | scaled=600000000000005.25000000000000000000
LO_DEBUG: input=6.00000000000005240253 | scaled=600000000000005.00000000000000000000
LO_DEBUG: input=6.00000000000005329071 | scaled=600000000000005.37500000000000000000
LO_DEBUG: input=6.00000000000005329071 | scaled=600000000000005.00000000000000000000
LO_DEBUG: input=6.00000000000005417888 | scaled=600000000000005.37500000000000000000
LO_DEBUG: input=6.00000000000005417888 | scaled=600000000000005.00000000000000000000
LO_DEBUG: input=6.00000000000005506706 | scaled=600000000000005.50000000000000000000
LO_DEBUG: input=6.00000000000005506706 | scaled=600000000000006.00000000000000000000
LO_DEBUG: input=6.00000000000005595524 | scaled=600000000000005.62500000000000000000
LO_DEBUG: input=6.00000000000005595524 | scaled=600000000000006.00000000000000000000
LO_DEBUG: input=6.00000000000005684342 | scaled=600000000000005.62500000000000000000
LO_DEBUG: input=6.00000000000005684342 | scaled=600000000000006.00000000000000000000
LO_DEBUG: input=6.00000000000005773160 | scaled=600000000000005.75000000000000000000
LO_DEBUG: input=6.00000000000005773160 | scaled=600000000000006.00000000000000000000
LO_DEBUG: input=6.00000000000005861978 | scaled=600000000000005.87500000000000000000
LO_DEBUG: input=6.00000000000005861978 | scaled=600000000000006.00000000000000000000
LO_DEBUG: input=6.00000000000005950795 | scaled=600000000000006.00000000000000000000
LO_DEBUG: input=6.00000000000005950795 | scaled=600000000000006.00000000000000000000
LO_DEBUG: input=6.00000000000006039613 | scaled=600000000000006.00000000000000000000
LO_DEBUG: input=6.00000000000006039613 | scaled=600000000000006.00000000000000000000
LO_DEBUG: input=6.00000000000006128431 | scaled=600000000000006.12500000000000000000
LO_DEBUG: input=6.00000000000006128431 | scaled=600000000000006.00000000000000000000
LO_DEBUG: input=6.00000000000006217249 | scaled=600000000000006.25000000000000000000
LO_DEBUG: input=6.00000000000006217249 | scaled=600000000000006.00000000000000000000
LO_DEBUG: input=6.00000000000006306067 | scaled=600000000000006.25000000000000000000
LO_DEBUG: input=6.00000000000006306067 | scaled=600000000000006.00000000000000000000
